False Positive Rate,True Positive Rate,y_test,y_prob
0,0,0,0.478075623
0,0.001071811,1,0.504003464
0,0.022508039,0,0.340473455
0.001061571,0.022508039,1,0.394149792
0.001061571,0.026795284,0,0.336905386
0.002123142,0.026795284,0,0.533244639
0.002123142,0.030010718,0,0.683007072
0.003184713,0.030010718,0,0.649113587
0.003184713,0.031082529,1,0.424075634
0.004246285,0.031082529,1,0.284535556
0.004246285,0.034297964,1,0.317949009
0.006369427,0.034297964,0,0.434500157
0.006369427,0.035369775,1,0.585422615
0.007430998,0.035369775,1,0.369700038
0.007430998,0.041800643,1,0.402384245
0.008492569,0.041800643,1,0.40998847
0.008492569,0.045016077,1,0.407076411
0.00955414,0.045016077,1,0.329204851
0.00955414,0.054662379,0,0.20760142
0.010615711,0.054662379,0,0.512131227
0.010615711,0.055734191,0,0.336321476
0.011677282,0.055734191,1,0.460369209
0.011677282,0.056806002,1,0.377809389
0.012738854,0.056806002,1,0.497812422
0.012738854,0.057877814,0,0.513584977
0.013800425,0.057877814,1,0.620606699
0.013800425,0.069667738,1,0.616632759
0.014861996,0.069667738,1,0.417885805
0.014861996,0.073954984,1,0.445750963
0.018046709,0.073954984,1,0.440057123
0.018046709,0.075026795,0,0.451737889
0.01910828,0.075026795,0,0.381014593
0.01910828,0.076098607,1,0.331604266
0.021231423,0.076098607,0,0.509335501
0.021231423,0.08681672,1,0.337125287
0.022292994,0.08681672,1,0.478502965
0.022292994,0.090032154,0,0.355987305
0.023354565,0.090032154,0,0.297626473
0.023354565,0.093247588,0,0.418362519
0.024416136,0.093247588,0,0.362405721
0.024416136,0.095391211,1,0.640719043
0.025477707,0.095391211,1,0.477342872
0.025477707,0.098606645,1,0.372235194
0.026539278,0.098606645,0,0.442690744
0.026539278,0.111468382,1,0.552576614
0.027600849,0.111468382,0,0.499495367
0.027600849,0.125401929,0,0.593797857
0.02866242,0.125401929,1,0.525345367
0.02866242,0.131832797,1,0.558236885
0.029723992,0.131832797,0,0.595460424
0.029723992,0.13397642,1,0.649290155
0.031847134,0.13397642,0,0.388617687
0.031847134,0.135048232,0,0.342875529
0.032908705,0.135048232,1,0.528880732
0.032908705,0.136120043,0,0.444982816
0.033970276,0.136120043,1,0.406339345
0.033970276,0.139335477,0,0.534507977
0.035031847,0.139335477,0,0.410352649
0.035031847,0.144694534,0,0.364362265
0.036093418,0.144694534,1,0.529411667
0.036093418,0.145766345,0,0.553515815
0.037154989,0.145766345,0,0.557556857
0.037154989,0.153269025,1,0.657001839
0.038216561,0.153269025,0,0.238260601
0.038216561,0.15755627,1,0.543369172
0.040339703,0.15755627,0,0.605538652
0.040339703,0.160771704,1,0.53557505
0.041401274,0.160771704,0,0.382243969
0.041401274,0.163987138,1,0.379112154
0.042462845,0.163987138,1,0.467528419
0.042462845,0.166130761,0,0.342146124
0.043524416,0.166130761,1,0.641513165
0.043524416,0.171489818,1,0.677757344
0.045647558,0.171489818,0,0.571630944
0.045647558,0.173633441,1,0.552141124
0.047770701,0.173633441,0,0.573822372
0.047770701,0.175777063,1,0.639933527
0.048832272,0.175777063,1,0.355643133
0.048832272,0.18113612,1,0.554990627
0.049893843,0.18113612,1,0.425124806
0.049893843,0.183279743,1,0.582641152
0.052016985,0.183279743,0,0.504071452
0.052016985,0.186495177,1,0.693429185
0.053078556,0.186495177,0,0.457172584
0.053078556,0.187566988,1,0.592140475
0.054140127,0.187566988,0,0.478638675
0.054140127,0.1886388,1,0.435494375
0.05626327,0.1886388,0,0.609552504
0.05626327,0.193997856,0,0.382580771
0.057324841,0.193997856,1,0.616056044
0.057324841,0.19721329,0,0.511349932
0.058386412,0.19721329,0,0.611582347
0.058386412,0.201500536,1,0.353467127
0.059447983,0.201500536,1,0.619249761
0.059447983,0.20471597,0,0.567676549
0.061571125,0.20471597,0,0.595661412
0.061571125,0.215434084,0,0.358698642
0.062632696,0.215434084,1,0.571506208
0.062632696,0.219721329,1,0.578568146
0.063694268,0.219721329,0,0.546704752
0.063694268,0.22079314,1,0.653928688
0.064755839,0.22079314,0,0.701827587
0.064755839,0.222936763,0,0.414970572
0.06581741,0.222936763,0,0.431010976
0.06581741,0.231511254,1,0.374493075
0.066878981,0.231511254,1,0.464903598
0.066878981,0.232583065,1,0.706282272
0.069002123,0.232583065,1,0.587134617
0.069002123,0.236870311,0,0.627596852
0.071125265,0.236870311,0,0.537718609
0.071125265,0.241157556,0,0.38591506
0.072186837,0.241157556,0,0.491240457
0.072186837,0.242229368,1,0.627905153
0.073248408,0.242229368,0,0.495358459
0.073248408,0.243301179,0,0.585328204
0.074309979,0.243301179,1,0.374015491
0.074309979,0.247588424,1,0.30811614
0.076433121,0.247588424,1,0.533105718
0.076433121,0.249732047,0,0.549888221
0.077494692,0.249732047,0,0.434756428
0.077494692,0.250803859,0,0.328831835
0.078556263,0.250803859,1,0.485625491
0.078556263,0.255091104,1,0.562139224
0.079617834,0.255091104,0,0.396450793
0.079617834,0.256162915,0,0.377651164
0.080679406,0.256162915,0,0.546794077
0.080679406,0.260450161,1,0.595399569
0.082802548,0.260450161,1,0.643488476
0.082802548,0.261521972,1,0.640881615
0.083864119,0.261521972,0,0.577671721
0.083864119,0.263665595,0,0.362370143
0.089171975,0.263665595,0,0.464989493
0.089171975,0.264737406,0,0.385415121
0.093418259,0.264737406,0,0.450719303
0.093418259,0.265809218,1,0.586985276
0.09447983,0.265809218,0,0.573371433
0.09447983,0.26795284,1,0.317745258
0.095541401,0.26795284,1,0.657792861
0.095541401,0.271168274,0,0.558947976
0.100849257,0.271168274,0,0.38575894
0.100849257,0.272240086,0,0.603060149
0.101910828,0.272240086,0,0.254547752
0.101910828,0.273311897,0,0.424200403
0.102972399,0.273311897,0,0.330286425
0.102972399,0.278670954,0,0.471692833
0.10403397,0.278670954,1,0.261564056
0.10403397,0.279742765,0,0.493842107
0.106157113,0.279742765,0,0.452907151
0.106157113,0.281886388,0,0.596255305
0.107218684,0.281886388,0,0.446838203
0.107218684,0.284030011,0,0.511256333
0.108280255,0.284030011,0,0.422078766
0.108280255,0.285101822,1,0.514541192
0.109341826,0.285101822,0,0.529675563
0.109341826,0.286173633,1,0.44855469
0.11358811,0.286173633,1,0.600794756
0.11358811,0.288317256,1,0.50892241
0.114649682,0.288317256,1,0.586134139
0.114649682,0.289389068,1,0.5913327
0.118895966,0.289389068,0,0.368060526
0.118895966,0.29153269,0,0.520668001
0.119957537,0.29153269,0,0.510190575
0.119957537,0.292604502,0,0.400706459
0.121019108,0.292604502,0,0.486923008
0.121019108,0.296891747,0,0.499798196
0.123142251,0.296891747,0,0.343522525
0.123142251,0.297963558,0,0.553442547
0.125265393,0.297963558,0,0.526178678
0.125265393,0.29903537,0,0.618580636
0.128450106,0.29903537,0,0.467952742
0.128450106,0.300107181,0,0.483982237
0.130573248,0.300107181,0,0.377492323
0.130573248,0.301178992,0,0.33634412
0.132696391,0.301178992,0,0.367703637
0.132696391,0.302250804,0,0.569515039
0.134819533,0.302250804,0,0.414050975
0.134819533,0.306538049,0,0.476958715
0.14118896,0.306538049,1,0.573678776
0.14118896,0.307609861,0,0.394153781
0.143312102,0.307609861,0,0.574305733
0.143312102,0.308681672,1,0.692052398
0.147558386,0.308681672,0,0.316686547
0.147558386,0.309753483,0,0.597672304
0.148619958,0.309753483,1,0.651265526
0.148619958,0.310825295,1,0.574334416
0.151804671,0.310825295,1,0.580445143
0.151804671,0.311897106,0,0.519483415
0.152866242,0.311897106,0,0.488431328
0.152866242,0.31511254,0,0.48294544
0.153927813,0.31511254,1,0.558877293
0.153927813,0.318327974,1,0.293644313
0.156050955,0.318327974,1,0.385700202
0.156050955,0.319399786,1,0.455962146
0.16029724,0.319399786,0,0.515548062
0.16029724,0.321543408,0,0.468764277
0.162420382,0.321543408,1,0.603703393
0.162420382,0.333333333,0,0.674905637
0.163481953,0.333333333,1,0.525455246
0.163481953,0.335476956,0,0.404263321
0.164543524,0.335476956,0,0.702501128
0.164543524,0.336548767,0,0.530042728
0.166666667,0.336548767,1,0.634268501
0.166666667,0.337620579,1,0.560347372
0.167728238,0.337620579,1,0.537023282
0.167728238,0.340836013,1,0.599654218
0.16985138,0.340836013,0,0.438019239
0.16985138,0.349410504,1,0.687661801
0.170912951,0.349410504,1,0.541529906
0.170912951,0.352625938,1,0.75825711
0.175159236,0.352625938,1,0.488698002
0.175159236,0.354769561,0,0.407409964
0.176220807,0.354769561,1,0.375574399
0.176220807,0.355841372,1,0.473959479
0.178343949,0.355841372,1,0.359396191
0.178343949,0.356913183,1,0.391536599
0.182590234,0.356913183,0,0.63175606
0.182590234,0.364415863,0,0.283211716
0.184713376,0.364415863,0,0.602268209
0.184713376,0.365487674,1,0.452859096
0.185774947,0.365487674,0,0.507085852
0.185774947,0.368703108,0,0.534035219
0.186836518,0.368703108,1,0.559231471
0.186836518,0.36977492,1,0.416044532
0.187898089,0.36977492,1,0.582125646
0.187898089,0.372990354,0,0.556102916
0.190021231,0.372990354,0,0.516065563
0.190021231,0.374062165,0,0.431848291
0.192144374,0.374062165,0,0.548526061
0.192144374,0.377277599,1,0.591289702
0.194267516,0.377277599,0,0.497331739
0.194267516,0.383708467,1,0.631338218
0.195329087,0.383708467,0,0.343741691
0.195329087,0.384780279,1,0.413754948
0.197452229,0.384780279,0,0.477963897
0.197452229,0.386923901,0,0.637810383
0.200636943,0.386923901,1,0.39890435
0.200636943,0.387995713,1,0.716409462
0.205944798,0.387995713,0,0.481913009
0.205944798,0.390139335,0,0.330141478
0.208067941,0.390139335,0,0.314325981
0.208067941,0.391211147,0,0.560412873
0.209129512,0.391211147,1,0.482781155
0.209129512,0.39335477,1,0.3381119
0.210191083,0.39335477,1,0.574363969
0.210191083,0.396570204,1,0.392378052
0.211252654,0.396570204,1,0.630660453
0.211252654,0.398713826,0,0.49911028
0.212314225,0.398713826,0,0.277557785
0.212314225,0.399785638,0,0.480422262
0.218683652,0.399785638,0,0.637426753
0.218683652,0.407288317,0,0.452532779
0.219745223,0.407288317,1,0.49891602
0.219745223,0.408360129,0,0.654889297
0.222929936,0.408360129,0,0.217845159
0.222929936,0.40943194,1,0.673426946
0.22611465,0.40943194,1,0.481464017
0.22611465,0.411575563,0,0.327918979
0.229299363,0.411575563,1,0.72011912
0.229299363,0.41693462,1,0.366558882
0.232484076,0.41693462,1,0.520870474
0.232484076,0.419078242,1,0.483036716
0.233545648,0.419078242,0,0.706585177
0.233545648,0.420150054,0,0.330826524
0.234607219,0.420150054,0,0.553248375
0.234607219,0.421221865,1,0.240713928
0.23566879,0.421221865,0,0.538045958
0.23566879,0.422293676,1,0.382121416
0.236730361,0.422293676,0,0.558917744
