False Positive Rate,True Positive Rate,y_test,y_prob
0,0,0,0.470758351
0,0.001071811,1,0.754684624
0,0.002143623,0,0.401332177
0.002123142,0.002143623,1,0.218219018
0.002123142,0.005359057,0,0.601999899
0.003184713,0.005359057,0,0.668430205
0.003184713,0.011789925,0,0.742743165
0.004246285,0.011789925,0,0.279346599
0.004246285,0.01607717,1,0.596980005
0.005307856,0.01607717,1,0.579110463
0.005307856,0.021436227,1,0.269805601
0.006369427,0.021436227,0,0.416108395
0.006369427,0.022508039,1,0.418707857
0.007430998,0.022508039,1,0.471910785
0.007430998,0.024651661,1,0.56845113
0.008492569,0.024651661,1,0.749781336
0.008492569,0.037513398,1,0.656674472
0.00955414,0.037513398,1,0.257044397
0.00955414,0.042872454,0,0.285636362
0.010615711,0.042872454,0,0.214502541
0.010615711,0.046087889,0,0.206543731
0.011677282,0.046087889,1,0.596784892
0.011677282,0.048231511,1,0.448402036
0.012738854,0.048231511,1,0.321458129
0.012738854,0.049303323,0,0.478796052
0.013800425,0.049303323,1,0.506835343
0.013800425,0.050375134,1,0.704639752
0.014861996,0.050375134,1,0.402604485
0.014861996,0.051446945,1,0.55205035
0.015923567,0.051446945,1,0.424028738
0.015923567,0.058949625,0,0.24833956
0.016985138,0.058949625,0,0.325556606
0.016985138,0.062165059,1,0.351821804
0.018046709,0.062165059,0,0.661608202
0.018046709,0.073954984,1,0.283874721
0.01910828,0.073954984,1,0.328974956
0.01910828,0.080385852,0,0.207806684
0.020169851,0.080385852,0,0.281074128
0.020169851,0.087888532,0,0.279940722
0.021231423,0.087888532,0,0.458444796
0.021231423,0.095391211,1,0.779096341
0.024416136,0.095391211,1,0.377201382
0.024416136,0.097534834,1,0.637740606
0.025477707,0.097534834,0,0.425391666
0.025477707,0.099678457,1,0.559297701
0.026539278,0.099678457,0,0.503402681
0.026539278,0.105037513,0,0.4921983
0.027600849,0.105037513,1,0.479589096
0.027600849,0.107181136,1,0.377851242
0.02866242,0.107181136,0,0.505952698
0.02866242,0.121114684,1,0.782140027
0.029723992,0.121114684,0,0.228801964
0.029723992,0.123258307,0,0.510689754
0.030785563,0.123258307,1,0.497986941
0.030785563,0.135048232,0,0.257248228
0.031847134,0.135048232,1,0.759225538
0.031847134,0.137191854,0,0.251051299
0.032908705,0.137191854,0,0.47673034
0.032908705,0.138263666,0,0.173898882
0.033970276,0.138263666,1,0.6309266
0.033970276,0.139335477,0,0.229659195
0.036093418,0.139335477,0,0.638520666
0.036093418,0.143622722,1,0.741893671
0.038216561,0.143622722,0,0.385554682
0.038216561,0.146838156,1,0.661809952
0.039278132,0.146838156,0,0.183436926
0.039278132,0.150053591,1,0.695266537
0.040339703,0.150053591,0,0.569021298
0.040339703,0.151125402,1,0.352374004
0.041401274,0.151125402,1,0.548527636
0.041401274,0.155412647,0,0.285507557
0.042462845,0.155412647,1,0.525940571
0.042462845,0.15755627,1,0.716577869
0.043524416,0.15755627,0,0.416601194
0.043524416,0.159699893,1,0.742673288
0.044585987,0.159699893,0,0.39504223
0.044585987,0.160771704,1,0.689367231
0.04670913,0.160771704,1,0.630931145
0.04670913,0.163987138,1,0.763307614
0.048832272,0.163987138,1,0.33143729
0.048832272,0.170418006,1,0.67180152
0.049893843,0.170418006,0,0.446507992
0.049893843,0.172561629,1,0.844741295
0.053078556,0.172561629,0,0.581312993
0.053078556,0.173633441,1,0.472759846
0.054140127,0.173633441,0,0.157534396
0.054140127,0.178992497,1,0.214933595
0.055201699,0.178992497,0,0.287249611
0.055201699,0.18113612,0,0.312704001
0.05626327,0.18113612,1,0.651118153
0.05626327,0.183279743,0,0.242454334
0.057324841,0.183279743,0,0.221934904
0.057324841,0.184351554,1,0.438003783
0.059447983,0.184351554,1,0.713696114
0.059447983,0.198285102,0,0.341122548
0.060509554,0.198285102,0,0.62684404
0.060509554,0.200428725,0,0.592105884
0.062632696,0.200428725,1,0.438647663
0.062632696,0.203644159,1,0.838133463
0.064755839,0.203644159,0,0.356965739
0.064755839,0.206859593,1,0.621001839
0.06581741,0.206859593,0,0.879234804
0.06581741,0.207931404,0,0.688008608
0.066878981,0.207931404,0,0.558728834
0.066878981,0.209003215,1,0.575405974
0.069002123,0.209003215,1,0.735532117
0.069002123,0.213290461,1,0.862429214
0.070063694,0.213290461,1,0.314346288
0.070063694,0.215434084,0,0.797985066
0.071125265,0.215434084,0,0.198802005
0.071125265,0.219721329,0,0.242683478
0.072186837,0.219721329,0,0.564313696
0.072186837,0.221864952,1,0.72919483
0.073248408,0.221864952,0,0.514825999
0.073248408,0.224008574,0,0.369907972
0.074309979,0.224008574,1,0.633171215
0.074309979,0.227224009,1,0.330800312
0.07537155,0.227224009,1,0.552190699
0.07537155,0.22829582,0,0.433300926
0.076433121,0.22829582,0,0.422338228
0.076433121,0.233654877,0,0.436758532
0.077494692,0.233654877,1,0.702064776
0.077494692,0.235798499,1,0.488501708
0.078556263,0.235798499,0,0.51801631
0.078556263,0.236870311,0,0.202154049
0.079617834,0.236870311,0,0.270582429
0.079617834,0.240085745,1,0.387145877
0.08492569,0.240085745,1,0.756694444
0.08492569,0.254019293,1,0.669393529
0.087048832,0.254019293,0,0.327165636
0.087048832,0.255091104,0,0.571949927
0.088110403,0.255091104,0,0.305596157
0.088110403,0.265809218,0,0.57241201
0.089171975,0.265809218,0,0.530889928
0.089171975,0.26795284,1,0.538701384
0.090233546,0.26795284,0,0.359062676
0.090233546,0.269024652,1,0.23035847
0.091295117,0.269024652,1,0.5473735
0.091295117,0.270096463,0,0.417004941
0.092356688,0.270096463,0,0.426544907
0.092356688,0.271168274,0,0.402757242
0.093418259,0.271168274,0,0.365718728
0.093418259,0.272240086,0,0.35613552
0.095541401,0.272240086,0,0.491267392
0.095541401,0.27545552,0,0.232048004
0.096602972,0.27545552,1,0.535838163
0.096602972,0.276527331,0,0.233202999
0.098726115,0.276527331,0,0.632211332
0.098726115,0.281886388,0,0.430088925
0.099787686,0.281886388,0,0.589290875
0.099787686,0.282958199,0,0.598163982
0.100849257,0.282958199,0,0.33336636
0.100849257,0.287245445,1,0.255110989
0.101910828,0.287245445,0,0.167952002
0.101910828,0.292604502,1,0.685082851
0.102972399,0.292604502,1,0.675486324
0.102972399,0.293676313,1,0.530862149
0.10403397,0.293676313,1,0.694948004
0.10403397,0.296891747,1,0.526837833
0.107218684,0.296891747,0,0.347322288
0.107218684,0.29903537,0,0.456129094
0.108280255,0.29903537,0,0.462994046
0.108280255,0.302250804,0,0.516889108
0.109341826,0.302250804,0,0.504563182
0.109341826,0.303322615,0,0.425948152
0.110403397,0.303322615,0,0.204547595
0.110403397,0.306538049,0,0.4576436
0.111464968,0.306538049,0,0.459424599
0.111464968,0.309753483,0,0.459070952
0.112526539,0.309753483,0,0.377888245
0.112526539,0.310825295,0,0.333946514
0.11358811,0.310825295,0,0.611337821
0.11358811,0.314040729,0,0.510295975
0.114649682,0.314040729,0,0.21569276
0.114649682,0.31511254,0,0.80903687
0.116772824,0.31511254,0,0.271839392
0.116772824,0.318327974,0,0.51097454
0.118895966,0.318327974,1,0.736511274
0.118895966,0.319399786,0,0.377443481
0.119957537,0.319399786,0,0.413706598
0.119957537,0.320471597,1,0.394732431
0.122080679,0.320471597,0,0.437318617
0.122080679,0.323687031,0,0.500810815
0.125265393,0.323687031,1,0.621135225
0.125265393,0.325830654,1,0.68439292
0.127388535,0.325830654,1,0.60988616
0.127388535,0.331189711,0,0.268289982
0.128450106,0.331189711,0,0.42198394
0.128450106,0.334405145,0,0.698702031
0.129511677,0.334405145,1,0.694979094
0.129511677,0.335476956,1,0.611985733
0.130573248,0.335476956,1,0.728082235
0.130573248,0.33869239,1,0.399951907
0.13163482,0.33869239,0,0.135103204
0.13163482,0.339764202,0,0.512242664
0.133757962,0.339764202,1,0.71209145
0.133757962,0.347266881,0,0.842293312
0.134819533,0.347266881,1,0.48515087
0.134819533,0.349410504,0,0.230004883
0.135881104,0.349410504,0,0.182443153
0.135881104,0.351554126,0,0.38889074
0.136942675,0.351554126,1,0.310529745
0.136942675,0.354769561,1,0.57709113
0.138004246,0.354769561,1,0.658859679
0.138004246,0.355841372,1,0.476636911
0.139065817,0.355841372,0,0.555449714
0.139065817,0.357984995,1,0.608196301
0.142250531,0.357984995,1,0.819801512
0.142250531,0.359056806,1,0.637574083
0.143312102,0.359056806,1,0.444374769
0.143312102,0.360128617,0,0.288021026
0.144373673,0.360128617,1,0.69451609
0.144373673,0.364415863,1,0.692715753
0.145435244,0.364415863,1,0.257770714
0.145435244,0.365487674,1,0.237915441
0.146496815,0.365487674,0,0.624685935
0.146496815,0.368703108,0,0.588176853
0.147558386,0.368703108,0,0.179023256
0.147558386,0.376205788,1,0.556385703
0.1507431,0.376205788,0,0.284750312
0.1507431,0.378349411,0,0.25964132
0.152866242,0.378349411,1,0.621969854
0.152866242,0.384780279,1,0.384801844
0.154989384,0.384780279,1,0.742733012
0.154989384,0.389067524,0,0.408409212
0.156050955,0.389067524,0,0.258410728
0.156050955,0.390139335,0,0.287751562
0.162420382,0.390139335,0,0.24824036
0.162420382,0.391211147,1,0.775420195
0.163481953,0.391211147,0,0.747199473
0.163481953,0.39335477,1,0.714857751
0.165605096,0.39335477,0,0.45829158
0.165605096,0.397642015,1,0.561074786
0.167728238,0.397642015,0,0.206653505
0.167728238,0.398713826,0,0.57441476
0.168789809,0.398713826,1,0.367599394
0.168789809,0.404072883,1,0.708674761
0.171974522,0.404072883,0,0.2846476
0.171974522,0.411575563,0,0.252864198
0.173036093,0.411575563,0,0.311324956
0.173036093,0.412647374,0,0.570692864
0.175159236,0.412647374,1,0.606950115
0.175159236,0.413719185,1,0.653412006
0.176220807,0.413719185,1,0.416245914
0.176220807,0.423365488,1,0.754127212
0.177282378,0.423365488,1,0.697162013
0.177282378,0.427652733,0,0.429872007
0.178343949,0.427652733,0,0.559775507
0.178343949,0.436227224,0,0.373670966
0.17940552,0.436227224,0,0.245575322
0.17940552,0.439442658,0,0.529856621
0.180467091,0.439442658,1,0.816001274
0.180467091,0.440514469,0,0.41082291
0.182590234,0.440514469,0,0.138266843
0.182590234,0.441586281,1,0.751389054
0.183651805,0.441586281,1,0.619407435
0.183651805,0.442658092,0,0.655243496
0.184713376,0.442658092,1,0.637973734
0.184713376,0.446945338,1,0.558511512
0.187898089,0.446945338,1,0.47039032
0.187898089,0.448017149,1,0.482822425
0.18895966,0.448017149,0,0.710550917
0.18895966,0.452304394,0,0.56349396
0.190021231,0.452304394,0,0.31456717
0.190021231,0.45659164,1,0.37505883
0.191082803,0.45659164,0,0.339148597
