train_loss,val_loss,train_acc,val_acc
0.6932672096202112,0.693250846900664,0.4986,0.4736
0.693234169507854,0.6935962799832643,0.4943,0.4736
0.6892437300394489,0.6730439129724732,0.5205,0.5784
0.6588065683567829,0.6318944306738059,0.6185,0.6576
0.6108290132047143,0.6073467178622562,0.6841,0.6848
0.5761953652708696,0.5667699076400015,0.7237,0.7336
0.5683740585219367,0.5675521865782248,0.7329,0.724
0.5646398783983554,0.5587982203747104,0.734,0.7456
0.5627481631418876,0.5612639261789625,0.7374,0.7408
0.5603179284429832,0.5592812062647476,0.7381,0.7352
0.5591394626295607,0.5599856680427946,0.7374,0.7344
0.5583230198733694,0.5577416311560641,0.7382,0.7416
0.5572859910281958,0.5600075809589566,0.7412,0.74
0.5565660825101282,0.5579246377005608,0.7392,0.7432
0.5562182672059488,0.5572324272199563,0.7407,0.7368
0.5568594569369596,0.5603808470696148,0.7393,0.7336
0.5551735997969959,0.5562166814182575,0.7413,0.7392
0.5555211637163668,0.5554866499282167,0.7425,0.748
0.5546464983085816,0.5563426145505311,0.7407,0.74
0.5544846832551303,0.5557705849085441,0.7409,0.7448
