train_loss,val_loss,train_acc,val_acc
0.5890108599460218,0.5603934988558292,0.6931,0.7296
0.5532248658186989,0.5584340879797935,0.729,0.7384
0.5453119918624055,0.5734558241128922,0.7322,0.7192
0.5417485598833999,0.5410018965389579,0.7317,0.7344
0.5407551853266341,0.5372778602033853,0.7349,0.7424
0.5371712515576743,0.5377122169680894,0.7398,0.7336
0.5367585155653338,0.5642057876944542,0.739,0.7224
0.5336765877051738,0.5473900521449745,0.7425,0.7288
0.5337583215148421,0.5359358189254999,0.7421,0.7376
0.5320347337144274,0.5639030393555761,0.741,0.7296
0.530480638339142,0.5810012930743397,0.7402,0.7312
0.5317956326443353,0.5414629646219313,0.7397,0.7184
0.5304575211646616,0.5355645286545158,0.7403,0.7368
0.5289388299050232,0.5371788280680776,0.7391,0.7272
0.529315979187903,0.5468179371759295,0.7435,0.728
0.5274026762539329,0.5480274872681783,0.7436,0.732
0.5272448399340568,0.5486359307264087,0.7433,0.7392
0.5258263204348077,0.5827605294593784,0.7423,0.7336
0.5280370688187462,0.5512914808447938,0.7425,0.7272
