train_loss,val_loss,train_acc,val_acc
0.6933524251042574,0.6936244376447245,0.4924,0.4736
0.6932582148365551,0.6936233434434076,0.4988,0.4736
0.6854260570376938,0.6420689336013145,0.5431,0.6536
0.6153560689287676,0.5736639469099428,0.6764,0.7296
0.5720882923198429,0.5647492135501372,0.7303,0.7352
0.5645789358820825,0.5720841628459935,0.7381,0.732
0.5610048387730796,0.5604136312110879,0.7399,0.7384
0.5610823023569624,0.5600025785495698,0.7366,0.7408
0.5598845380665929,0.5641847737427969,0.7363,0.736
0.5594817715778125,0.5603945657450184,0.7377,0.7416
0.561136277856445,0.5616857231025398,0.7355,0.7408
0.5585875422513539,0.5680018379041449,0.74,0.7272
0.5591510347773322,0.5600651859995294,0.7378,0.7424
0.5565489290285045,0.5669394339322409,0.7424,0.7296
0.5582465805964157,0.5626791893880374,0.7399,0.7328
0.5563851891114904,0.5637411068289883,0.7414,0.7368
0.5555093667717463,0.5658386749085788,0.7396,0.728
0.5569360934009643,0.5648384517072371,0.7404,0.732
0.5562649429038984,0.5625130561002012,0.7406,0.7336
0.5548530630448255,0.5603895608996116,0.7396,0.7368
